epoch,step,train_loss,val_loss
0,49,0.1057005226612091,
0,99,0.06526023894548416,
0,149,0.054103873670101166,
0,199,0.059205561876297,
0,249,0.026873119175434113,
0,299,0.17667175829410553,
0,349,0.24650318920612335,
0,399,0.0498792938888073,
0,449,0.03322071582078934,
0,499,0.0716719999909401,
0,549,0.09970792382955551,
0,599,0.020383337512612343,
0,649,0.03630713373422623,
0,699,0.045049428939819336,
0,749,0.06328853964805603,
0,799,0.08510533720254898,
0,849,0.014928288757801056,
0,899,0.012630145065486431,
0,949,0.03233329951763153,
0,999,0.018064675852656364,
0,1049,0.02117811143398285,
0,1099,0.016806211322546005,
0,1149,0.5047208666801453,
0,1199,0.025357944890856743,
0,1249,0.017079919576644897,
0,1299,0.05927273631095886,
0,1349,0.41740766167640686,
0,1399,0.09831082820892334,
0,1449,0.03325599431991577,
0,1499,0.049514107406139374,
0,1549,0.01775640994310379,
0,1599,0.03841384872794151,
0,1649,0.0960845798254013,
0,1699,0.049824029207229614,
0,1749,0.17045554518699646,
0,1799,0.009449468925595284,
0,1849,0.012450207956135273,
0,1899,0.04810312017798424,
0,1949,0.02093128301203251,
0,1999,0.07814968377351761,
0,2049,0.03643347695469856,
0,2099,0.027081260457634926,
0,2149,0.05952237546443939,
0,2199,0.1653238981962204,
0,2249,0.035253044217824936,
0,2299,0.20666749775409698,
0,2349,0.016221990808844566,
0,2399,0.036211688071489334,
0,2449,0.08999406546354294,
0,2499,0.06108148396015167,
0,2549,0.16984982788562775,
0,2599,0.06995134800672531,
0,2649,0.021701868623495102,
0,2699,0.010253410786390305,
0,2749,0.009968568570911884,
0,2799,0.01769886538386345,
0,2849,0.026379290968179703,
0,2899,0.021126195788383484,
0,2949,0.01674497500061989,
0,2999,0.023057932034134865,
0,3049,0.018446873873472214,
0,3099,0.024777011945843697,
0,3149,0.008984829299151897,
0,3199,0.030077684670686722,
0,3249,0.038336824625730515,
0,3299,0.020224137231707573,
0,3349,0.009136391803622246,
0,3399,0.018107039853930473,
0,3449,0.14567460119724274,
0,3499,0.026446226984262466,
0,3549,0.012051784433424473,
0,3599,0.02692835032939911,
0,3649,0.28633588552474976,
0,3699,0.021221574395895004,
0,3749,0.01984519325196743,
0,3799,0.11911112815141678,
0,3849,0.010327281430363655,
0,3899,0.020137272775173187,
0,3949,0.206105574965477,
0,3999,0.021573683246970177,
0,4049,0.023815909400582314,
0,4099,0.017269009724259377,
0,4149,0.02004263363778591,
0,4199,0.021578263491392136,
0,4249,0.429325670003891,
0,4299,0.22653701901435852,
0,4349,0.018680157139897346,
0,4399,0.009902785532176495,
0,4449,0.010006945580244064,
0,4499,0.019701730459928513,
0,4549,0.23591916263103485,
0,4599,0.06810346245765686,
0,4649,0.1655084490776062,
0,4699,0.037637658417224884,
0,4749,0.027043651789426804,
0,4799,0.02615378238260746,
0,4849,0.008358463644981384,
